Dept,2004_1st,2005_1st,2006_1st,2007_1st,2008_1st,2010_1st,2010_2,2011_1st,2011_2,2012_1st,2012_2,2013_1st,2013_2,2014_1st,2014_2,2015_1st,2015_2,2016_1st,2016_2,2017_1st,2017_2
1,86.2,88.9,89.9,89,87.9,,,95.5,80.9,,,,,93,84.2,93.4,86.7,93.5,85.1,92.4,86.4*
2,90.8,,91.7,93.3,,90.1,63.2,91.1,66.6,91,69.9,89.8,69,90.7,72.7,86.8,71.5,86.1,74.1,85.6,75.1
3,89.9,90.5,,91.7,89.2,87.2,55.8,87.4,64.5,88.2,73.5,88.5,75.7,86.4,76.9,90,81.2,90.3,83.7,85,78.9
4,67.3,,,,,,,82.9,50.3,,,,,83.8,,80.6,,80.2,,76.8,87.5
5,,,,,,80,30,87.1,45.7,87.3,51,88.4,57.3,84.6,54.9,85.2,61.9,83.2,65.5,84.1,69.6
6,78,,,91.5,,,,87.1,67.2,89.7,75.4,88.4,76.4,89.5,77.5,88.3,77.5,88.3,76.9,88.1,78.6
7,,79.3,80.4,,,82.7,28.9,84.9,56.5,85.7,67.7,,,,,85.5,71.2,84.7,71.3,87.9,
8,93,91.8,93.4,94.3,93.2,93.2,68.3,91.1,70.6,,70.1,92.2,75.2,94,83.2,92.6,83.9,94.8,84.8,95.6,88.2
9,72.7,72.5,76.5,,,78.2,36,,,86.2,61.3,82.6,59,85.5,65.5,84.4,63.7,84.3,63.3,85.6,71.2
10,85.8,,,91.5,,87.2,54.2,88.3,61.3,,64.8,91.2,72,89.4,73.1,90.2,76.8,91.1,81.4,93.3,84.2
11,84,82.7,81.2,85.5,84,84.4,51.5,85.2,55.4,86.9,66.3,88.1,66.2,87.7,69.3,85.3,66.9,83.6,66.4,84.3,65.1
12,75.5,75.7,,,,75.9,41.9,79.4,45.8,,,,,86.1,62,85.3,66.2,84.8,64.7,84.5,66.3
13,84,,,88.5,,,,85.5,67.5,,,88.3,73.1,86.4,73.3,86.5,74.3,85.2,73.8,79.2,70.2
14,90,90.6,89.9,88.1,85.7,,,86,57.4,89.6,66.4,90.7,68.9,90.9,74,92,78,91.9,81.8,92,81.2
15,83,84,84.8,87.1,88.3,87.4,58.6,89.7,63.6,89.2,67.3,,,91.9,80.1,88.5,77.1,88.4,79.1,87.7,81
16,91,90.6,92.2,91.7,92.3*,95.5,61.8,95.1,60.2,97.2,63.6,97.6,69,97.3,73.3,97.6,74.6,96.2,77.8,93.9,79.9
17,83,82.1,81.1,83.7,83.5,,,75.3,56.7,87.1,68.4,89.2,67.2,90.1,73.9,88.9,72.2,83.6,72.9,90.5,
18,,,,,,,,92.4,62.3,94,67.1,,,94.5,70.9,93.7,77,93.3,77,92.9,78.6
19,,,,90.2,87.3,90.1,59.8,,,85.3,60.1,93,72.5,92.2,74,90.7,80.9,90.3,81.9,95.2,84.2
21,88,88.9,89.9,,88.5,87.4,57.9,88.6,63.1,90.7,70.2,92.8,74.4,92.2,78.1,92.1,79.5,92.3,81.6,92.1,83.2
22,88,93.3,93.3,89.7,85.8,89,52.9,90.4,61.7,91.2,67.9,89.2,67.9,92.4,73.6,89.6,76.2,91.7,79,91.1,81.3
23,72.2,87.7,88.3,,,90.6,52.6,88.6,53.5,90.9,56.6,90.5,64.9,90.5,71.5,89.9,,90.5,73,95.1,81.8
24,82.6,87.6,88.4,86.5,,,,88.6,61.1,,65,89.2,68.8,88.1,70.3,89.1,74.3,89.8,78.2,87.7,77.5
25,86.8,,,89.1,87.6,87.9,57.4,89.8,66.3,91.4,72.1,90.1,71.8,90.6,75.7,90.8,76.9,90.3,78.2,90.9,81.4
26,80,81.1,85.2,86.5,84.5,83.4,51.1,,,86.1,66.7,,,89.8,,88.6,,88.2,,88,
27,86,84.7,87.1,91.6,,87.6,56.7,90.9,64.4,91.9,68.5,,,93,69.9,91,77.4,91.2,,88.6,78.7
2A,87.5,,,91.3,85.7,,,83.6,71,89,80.2,90.7,81.2,90,84.4,84.9,72.9,93.3,87.7,94.7,90.6
2B,93.2,88,88.4,94.8,93.6,92.7,62,93.5,67.7,94.2,75,94,81.1,90.1,79.8,89.9,78.7,94.4,83.5,91.9,84
28,88,89.1,,90.8,90.4,,,,,93,71.9,89.9,72.8,87.8,73.7,90.7,84.3,83.5,75.1,91.3,82.8
29,89,,,,,83.8,56,82.7,56.8,83.3,64.5,85.3,69.4,84.7,74,91.3,78.7,91.8,82.4,90.8,83.5
30,77,81,81.7,,78.6,,,85,59.8,90.5,70.2,,,89.5,74.5,87.3,76.4,87.3,,84.1,74.7
31,82.4,84.3,,,,,,89.8,61.3,,68.9,,70.8,93.1,75.8,91.4,78,90.1,78.1,90.3,78.7
32,80,84.6,81.8,,,,,,,,,,,75.5,56.2,79.1,62,79.5,64.8,76.8,63.7
33,87,86,87.6,,86.8,90,63.7,88.8,64.5,88.5,67.7,89.9,71.5,91.5,77.2,91,80.3,90.3,80.1,92.3,85.1
34,84,81.2,,88.9,86.2,86.2,59.5,87,65.9,,74,90.7,76.2,88.8,77.8,91.2,80.6,91.5,81.7,89.9,80.6
35,88,,88.6,,,84.7,52.4,83.7,56.2,87.7,64.1,87.9,69.4,88.3,74.8,89.7,80.7,90,81.9,89.1,81.1
36,90,91.9,,94.5,92.5,88.9,59,88.5,65,91.4,68.5,89.1,68.1,90.8,75.1,89.1,76.9,90.9,82,90.2,81.4
37,91,91.1,,90.9,,92.1,70.6,92.4,76.2,,,,,92.4,78.4,88.5,76.4,92.6,82.2,93.6,
38,84,84.8,,,88.7,89.1,58.2,89.3,65.7,89.9,73,92,76.3,90.6,78.4,88.7,,89.3,,89.1,81.8
39,81,80.1,,,84.5,82.8,44,88.4,66.2,89.6,61.6,87.1,63.4,89.1,68.6,87.7,67.6,88,72.2,88.3,72.9
40,87,86.6,,89.8,89.1,90.5,58.6,92.4,64,92.1,69.1,92.9,75.7,93,78.4,93,81,89.9,81,90.6,81.5
41,83,85.4,87.7,88.5,86.3,91.5,60.7,91.3,65.6,92.5,69.9,92.4,71.3,91.3,72.9,90.6,77.7,89.4,79.6,86.7,75.4
42,88,88.7,90.4,90.2,89.5,90.1,64.8,92.1,72.8,93,78.2,92.3,79.9,92.4,81.9,92.4,82.5,92,82.8,89.6,82.7
43,85,85.1,88.8,92.3,92.8,89.8,67.4,,,,76.2,,71.3,91,75.8,88.2,73.7,88.1,78.8,89.9,74.8
44,85.9,88.2,,,,,,87.5,66,91.2,70,90.5,75.6,89.8,78.1,90.1,78.6,91.1,83.3,91,83
